plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_4,L14,comp20,8,comp20_8,
plate_4,L15,comp39,7,comp39_7,
plate_4,L16,comp2,6,comp2_6,
plate_4,L17,comp33,8,comp33_8,
plate_4,L18,comp34,2,comp34_2,
plate_4,L19,ctrl4,1,ctrl4_1,
plate_4,L20,comp37,6,comp37_6,
plate_4,L21,comp4,3,comp4_3,
plate_4,L22,comp13,2,comp13_2,
plate_4,L23,ctrl2,1,ctrl2_1,
plate_4,L24,comp12,5,comp12_5,
plate_4,M01,DMSO,0,DMSO_0,
plate_4,M02,comp6,5,comp6_5,
plate_4,M03,comp13,1,comp13_1,
plate_4,M04,comp32,1,comp32_1,
plate_4,M05,comp20,6,comp20_6,
plate_4,M06,comp26,6,comp26_6,
plate_4,M07,comp28,6,comp28_6,
plate_4,M08,ctrl8,1,ctrl8_1,
plate_4,M09,comp34,6,comp34_6,
plate_4,M10,comp29,5,comp29_5,
plate_4,M11,comp9,3,comp9_3,
plate_4,M12,comp4,7,comp4_7,
plate_4,M13,comp10,8,comp10_8,
plate_4,M14,comp23,8,comp23_8,
plate_4,M15,comp1,8,comp1_8,
plate_4,M16,comp36,4,comp36_4,
plate_4,M17,comp3,2,comp3_2,
plate_4,M18,DMSO,0,DMSO_0,
plate_4,M19,comp18,5,comp18_5,
plate_4,M20,comp7,3,comp7_3,
plate_4,M21,comp16,7,comp16_7,
plate_4,M22,comp35,5,comp35_5,
plate_4,M23,comp14,8,comp14_8,
plate_4,M24,ctrl2,1,ctrl2_1,
plate_4,N01,comp31,8,comp31_8,
plate_4,N02,comp29,7,comp29_7,
plate_4,N03,DMSO,0,DMSO_0,
plate_4,N04,comp26,5,comp26_5,
plate_4,N05,ctrl7,1,ctrl7_1,
plate_4,N06,comp40,5,comp40_5,
plate_4,N07,comp22,2,comp22_2,
plate_4,N08,comp1,1,comp1_1,
plate_4,N09,comp32,2,comp32_2,
plate_4,N10,comp2,8,comp2_8,
plate_4,N11,comp30,3,comp30_3,
plate_4,N12,comp14,2,comp14_2,
plate_4,N13,comp25,4,comp25_4,
plate_4,N14,comp28,7,comp28_7,
plate_4,N15,comp5,6,comp5_6,
plate_4,N16,comp7,1,comp7_1,
plate_4,N17,ctrl3,1,ctrl3_1,
plate_4,N18,comp15,2,comp15_2,
plate_4,N19,comp24,7,comp24_7,
plate_4,N20,comp3,3,comp3_3,
plate_4,N21,comp21,5,comp21_5,
plate_4,N22,comp33,2,comp33_2,
plate_4,N23,DMSO,0,DMSO_0,
plate_4,N24,comp18,7,comp18_7,
plate_4,O01,comp39,6,comp39_6,
plate_4,O02,comp19,3,comp19_3,
plate_4,O03,comp30,7,comp30_7,
plate_4,O04,comp4,2,comp4_2,
plate_4,O05,comp14,1,comp14_1,
plate_4,O06,DMSO,0,DMSO_0,
plate_4,O07,comp37,8,comp37_8,
plate_4,O08,comp16,8,comp16_8,
plate_4,O09,comp33,6,comp33_6,
plate_4,O10,ctrl5,1,ctrl5_1,
plate_4,O11,comp21,3,comp21_3,
plate_4,O12,comp35,6,comp35_6,
plate_4,O13,comp2,2,comp2_2,
plate_4,O14,comp10,3,comp10_3,
plate_4,O15,comp27,4,comp27_4,
plate_4,O16,comp8,4,comp8_4,
plate_4,O17,comp36,8,comp36_8,
plate_4,O18,ctrl3,1,ctrl3_1,
plate_4,O19,comp5,3,comp5_3,
plate_4,O20,comp38,3,comp38_3,
plate_4,O21,DMSO,0,DMSO_0,
plate_4,O22,comp40,2,comp40_2,
plate_4,O23,comp31,5,comp31_5,
plate_4,O24,comp9,1,comp9_1,
plate_4,P01,comp14,6,comp14_6,
plate_4,P02,comp31,4,comp31_4,
plate_4,P03,ctrl5,1,ctrl5_1,
plate_4,P04,comp19,4,comp19_4,
plate_4,P05,comp7,2,comp7_2,
plate_4,P06,comp29,3,comp29_3,
plate_4,P07,comp12,2,comp12_2,
plate_4,P08,DMSO,0,DMSO_0,
plate_4,P09,comp15,7,comp15_7,
plate_4,P10,comp26,1,comp26_1,
plate_4,P11,comp32,3,comp32_3,
plate_4,P12,comp8,3,comp8_3,
plate_4,P13,comp27,8,comp27_8,
plate_4,P14,comp36,6,comp36_6,
plate_4,P15,DMSO,0,DMSO_0,
plate_4,P16,comp6,4,comp6_4,
plate_4,P17,comp11,8,comp11_8,
plate_4,P18,comp22,7,comp22_7,
plate_4,P19,comp1,7,comp1_7,
plate_4,P20,ctrl3,1,ctrl3_1,
plate_4,P21,comp10,4,comp10_4,
plate_4,P22,comp24,8,comp24_8,
plate_4,P23,comp17,3,comp17_3,
plate_4,P24,comp25,1,comp25_1,
