Source Well,Dest Well,Volume,Compound
G11,F01,150,Cpd129
G12,D06,150,Cpd130
G13,I08,150,Cpd131
G14,M11,150,Cpd132
G15,N20,150,Cpd133
G16,A13,150,Cpd134
G17,A22,150,Cpd135
G18,K17,150,Cpd136
G19,J10,150,Cpd137
G20,J20,150,Cpd138
G21,C21,150,Cpd139
G22,D21,150,Cpd140
G23,D02,150,JUMP4_rep3
G24,G15,150,DMSO
H01,C20,150,JUMP4_rep2
H02,H03,150,DMSO
H03,N17,150,Cpd141
H04,D11,150,Cpd142
H05,H04,150,Cpd143
H06,E01,150,Cpd144
H07,J22,150,Cpd145
H08,H12,150,Cpd146
H09,F20,150,Cpd147
H10,L18,150,Cpd148
H11,M17,150,Cpd149
H12,K19,150,Cpd150
H13,E15,150,Cpd151
H14,K11,150,Cpd152
H15,C15,150,Cpd153
H16,L10,150,Cpd154
H17,E12,150,Cpd155
H18,A16,150,Cpd156
H19,I12,150,Cpd157
H20,P05,150,Cpd158
H21,J19,150,Cpd159
H22,P04,150,Cpd160
H23,O08,150,JUMP4_rep4
H24,H05,150,DMSO
I01,C17,150,JUMP5_rep1
I02,I16,150,DMSO
I03,G19,150,Cpd161
I04,I03,150,Cpd162
I05,A24,150,Cpd163
I06,C22,150,Cpd164
I07,F21,150,Cpd165
I08,J03,150,Cpd166
I09,P19,150,Cpd167
I10,E02,150,Cpd168
I11,M02,150,Cpd169
I12,N02,150,Cpd170
I13,E14,150,Cpd171
I14,K13,150,Cpd172
I15,E19,150,Cpd173
I16,B04,150,Cpd174
I17,I20,150,Cpd175
I18,D23,150,Cpd176
I19,E03,150,Cpd177
I20,H02,150,Cpd178
I21,H11,150,Cpd179
I22,C12,150,Cpd180
I23,F08,150,JUMP5_rep3
I24,I19,150,DMSO
J01,D07,150,JUMP5_rep2
J02,J06,150,DMSO
J03,G21,150,Cpd181
J04,K16,150,Cpd182
J05,J09,150,Cpd183
J06,A04,150,Cpd184
J07,I06,150,Cpd185
J08,K09,150,Cpd186
J09,H13,150,Cpd187
J10,A10,150,Cpd188
J11,I04,150,Cpd189
J12,C16,150,Cpd190
J13,I10,150,Cpd191
J14,O20,150,Cpd192
J15,L19,150,Cpd193
